iteracao,endpoint,tempo_resposta
86,login,0.006351400999847101
86,refresh,0.007205180998425931
86,logout,0.006545677002577577
87,register,0.005868330001248978
87,login,0.005881946999579668
87,refresh,0.007011757003056118
87,logout,0.0072111419976863544
88,register,0.006499534996692091
88,login,0.005681116999767255
88,refresh,0.005851713998708874
88,logout,0.006457282997871516
89,register,0.005712767000659369
89,login,0.006116037999163382
89,refresh,0.005695350999303628
89,logout,0.006550927999342093
90,register,0.0057063469976128545
90,login,0.005936751997069223
90,refresh,0.007001544003287563
90,logout,0.006649085000390187
91,register,0.005483504999574507
91,login,0.006300223001744598
91,refresh,0.007294276001630351
91,logout,0.006320373999187723
92,register,0.006226362998859258
92,login,0.005197630998736713
92,refresh,0.00648743499914417
92,logout,0.007242101000883849
93,register,0.0056904750017565675
93,login,0.005387990997405723
93,refresh,0.006655204000708181
93,logout,0.00738472000011825
94,register,0.006228356000065105
94,login,0.005944373999227537
94,refresh,0.006420182999136159
94,logout,0.006242352999834111
95,register,0.005824485000630375
95,login,0.006324229998426745
95,refresh,0.007368560000031721
95,logout,0.006090422997658607
96,register,0.006460327000240795
96,login,0.0076484839992190246
96,refresh,0.007246154997119447
96,logout,0.006172926998260664
97,register,0.006091233000915963
97,login,0.006600214997888543
97,refresh,0.006241285002033692
97,logout,0.006121260001236806
98,register,0.004857650001213187
98,login,0.005546896998566808
98,refresh,0.007191013999545248
98,logout,0.006348363000142854
99,register,0.005966330998489866
99,login,0.005938430000242079
99,refresh,0.00610862300163717
99,logout,0.005729551001422806
100,register,0.005118496999784838
100,login,0.006836956003098749
100,refresh,0.006827186000009533
100,logout,0.0062317709998751525
101,register,0.005751225999119924
101,login,0.00668524299908313
101,refresh,0.006651097999565536
101,logout,0.005956193002930377
102,register,0.0053500609974435065
102,login,0.006123357998149004
102,refresh,0.006083307998778764
102,logout,0.007205940000858391
103,register,0.005551082998863421
103,login,0.005532103998120874
103,refresh,0.006427631997212302
103,logout,0.006685856998956297
104,register,0.005533868999918923
104,login,0.006120797999756178
104,refresh,0.006754323996574385
104,logout,0.007419296001899056
105,register,0.005464572997880168
105,login,0.005794420998427086
105,refresh,0.0061641659995075315
105,logout,0.006145424998976523
106,register,0.005787939997389913
106,login,0.005494564000400715
106,refresh,0.005961803999525728
106,logout,0.006516240002383711
107,register,0.006579093998880126
107,login,0.005289536002237583
107,refresh,0.007078319998981897
107,logout,0.006344608998915646
108,register,0.007198068997240625
108,login,0.006646945999818854
108,refresh,0.006698970999423182
108,logout,0.0055068030014808755
109,register,0.005571906000113813
109,login,0.0054765339991718065
109,refresh,0.006559934001415968
109,logout,0.005787294001493137
110,register,0.006029685002431506
110,login,0.006184131998452358
110,refresh,0.0071148179995361716
110,logout,0.0061130169997341
111,register,0.00595498199982103
111,login,0.00600354899870581
111,refresh,0.006373643002007157
111,logout,0.006495040997833712
112,register,0.005485918998601846
112,login,0.006048041999747511
112,refresh,0.006425551000575069
112,logout,0.006181386001117062
113,register,0.005672352999681607
113,login,0.012531016000139061
113,refresh,0.0066134840017184615
113,logout,0.006102593000832712
114,register,0.004692715003329795
114,login,0.005336834001354873
114,refresh,0.00645984699804103
114,logout,0.006309124000836164
115,register,0.0056655000007594936
115,login,0.0057815280015347525
115,refresh,0.007461574001354165
115,logout,0.007529939997766633
116,register,0.005731966000894317
116,login,0.005990598998323549
116,refresh,0.006791312000132166
116,logout,0.0064948709987220354
117,register,0.004767302998516243
117,login,0.005822548999276478
117,refresh,0.006306534000032116
117,logout,0.0064955929992720485
118,register,0.0057018169973162
118,login,0.0062794749974273145
118,refresh,0.006945547997020185
118,logout,0.007805743000062648
119,register,0.0051473560015438125
119,login,0.0051734779990511015
119,refresh,0.007349034000071697
119,logout,0.006488262999482686
120,register,0.0043392009974922985
120,login,0.005467972001497401
120,refresh,0.0068122930024401285
120,logout,0.006322731998807285
121,register,0.005032793000282254
121,login,0.005641091000143206
121,refresh,0.007417512002575677
121,logout,0.006274818002566462
122,register,0.0049257489990850445
122,login,0.005558349999773782
122,refresh,0.006625092999456683
122,logout,0.007649997998669278
123,register,0.005905326001084177
123,login,0.006080955001380062
123,refresh,0.007236445999296848
123,logout,0.0059398080011305865
124,register,0.005026644997997209
124,login,0.006277167998632649
124,refresh,0.0059559760011325125
124,logout,0.006329124000330921
125,register,0.006314628000836819
125,login,0.005386236000049394
125,refresh,0.007103960000677034
125,logout,0.006831799997598864
126,register,0.0058708739998110104
126,login,0.006081529998482438
126,refresh,0.006881688997964375
126,logout,0.005506483001227025
127,register,0.005469872001413023
127,login,0.005266651001875289
127,refresh,0.006579852000868414
127,logout,0.006715547002386302
128,register,0.006758012998034246
128,login,0.007341676999203628
128,refresh,0.007004808001511265
128,logout,0.008064781002758536
129,register,0.007075338999129599
129,login,0.00533809199987445
129,refresh,0.006975538999540731
129,logout,0.00684540599831962
130,register,0.005371913997805677
130,login,0.005042587999923853
130,refresh,0.006640596999204718
130,logout,0.006852427002741024
131,register,0.005880079999769805
131,login,0.005261499998596264
131,refresh,0.006966000000829808
131,logout,0.006183183999382891
132,register,0.004834031999052968
132,login,0.005127150001499103
132,refresh,0.006063953002012568
132,logout,0.006766719998267945
133,register,0.008730478999495972
133,login,0.007562072001746856
133,refresh,0.009224590001394972
133,logout,0.00749824800004717
134,register,0.008048988001974067
134,login,0.008304474999022204
134,refresh,0.006430162000469863
134,logout,0.006731548000971088
135,register,0.01235325600282522
135,login,0.006075859000702621
135,refresh,0.007043117999273818
135,logout,0.007435437000822276
136,register,0.006595550999918487
136,login,0.006420177000109106
136,refresh,0.005933410000579897
136,logout,0.0059881810011575
137,register,0.0054056480003055185
137,login,0.005097388002468506
137,refresh,0.005934987999353325
137,logout,0.006070258001273032
138,register,0.00527386999965529
138,login,0.00536180999915814
138,refresh,0.006668723002803745
138,logout,0.0064674470013414975
139,register,0.005445800001325551
139,login,0.006064960001822328
139,refresh,0.006694868003251031
139,logout,0.0056369410012848675
140,register,0.004760863001138205
140,login,0.005399460002081469
140,refresh,0.005327150000084657
140,logout,0.006129228000645526
141,register,0.00551544100017054
141,login,0.004905080997559708
141,refresh,0.006221777002792805
141,logout,0.006436660001782002
142,register,0.005324403999111382
142,login,0.005929498998739291
142,refresh,0.00650960699931602
142,logout,0.006575100000191014
143,register,0.005179644998861477
143,login,0.005483457000082126
143,refresh,0.0063111150011536665
143,logout,0.006415945998014649
144,register,0.0043576460011536255
144,login,0.006483638997451635
144,refresh,0.006662367999524577
144,logout,0.006481530999735696
145,register,0.005146931001945632
145,login,0.005889986001420766
145,refresh,0.005854364000697387
145,logout,0.0065652529992803466
146,register,0.0056067069999699015
146,login,0.005452277000586037
146,refresh,0.006349911000143038
146,logout,0.0061596300001838244
147,register,0.0058912290005537216
147,login,0.006227870999282459
147,refresh,0.005292123998515308
147,logout,0.006052310000086436
148,register,0.005810826001834357
148,login,0.006274966999626486
148,refresh,0.006481213997176383
148,logout,0.005926736001129029
149,register,0.0057301720007671975
149,login,0.006240356000489555
149,refresh,0.007324653000978287
149,logout,0.0068246269984229
150,register,0.006858086999272928
150,login,0.008734388997254428
150,refresh,0.007838555000489578
150,logout,0.0072936810029204935
151,register,0.006364494998706505
151,login,0.005210820996580878
151,refresh,0.007401193000987405
151,logout,0.006888723000884056
152,register,0.005395182997744996
152,login,0.005253674000414321
152,refresh,0.00627128600172
152,logout,0.006224418997589964
153,register,0.00580040700151585
153,login,0.005096328000945505
153,refresh,0.007072631997289136
153,logout,0.006959203001315473
154,register,0.0054035120010667015
154,login,0.00648067400106811
154,refresh,0.006248538000363624
154,logout,0.006485261001216713
155,register,0.005800322000141023
155,login,0.0064816720005183015
155,refresh,0.006662968000455294
155,logout,0.006201276999490801
156,register,0.005955478998657782
156,login,0.004979353998351144
156,refresh,0.0064396490015496965
156,logout,0.005900444000872085
157,register,0.004750597003294388
157,login,0.00572396099960315
157,refresh,0.006363308999425499
157,logout,0.006930204002856044
158,register,0.005362366999179358
158,login,0.006057162998331478
158,refresh,0.006411529000615701
158,logout,0.00567097100065439
159,register,0.0051643650003825314
159,login,0.005299070999171818
159,refresh,0.006493505999969784
159,logout,0.006967338998947525
160,register,0.00524220299848821
160,login,0.006085487999371253
160,refresh,0.005980623998766532
160,logout,0.006463710000389256
161,register,0.006364376000419725
161,login,0.005990872999973362
161,refresh,0.006056744998204522
161,logout,0.005565403997024987
162,register,0.0047437899993383326
162,login,0.006144164999568602
162,refresh,0.0056975719999172725
162,logout,0.006157482999697095
163,register,0.005404589999670861
163,login,0.005819644000439439
163,refresh,0.006597032999707153
163,logout,0.006116256001405418
164,register,0.004950922000716673
164,login,0.005513721000170335
164,refresh,0.006120686000940623
164,logout,0.0069186410000838805
165,register,0.004776360001415014
165,login,0.005209661998378579
165,refresh,0.005944599997746991
165,logout,0.006070383002224844
166,register,0.0064307290012948215
166,login,0.005501075000211131
166,refresh,0.006727009000314865
166,logout,0.005517843001143774
167,register,0.005989919998683035
167,login,0.005631291001918726
167,refresh,0.005801149996841559
167,logout,0.006014613998559071
168,register,0.005782669999462087
168,login,0.005018293002649443
168,refresh,0.006276231000811094
168,logout,0.005850849000125891
169,register,0.0040749820000201
169,login,0.005710666999220848
169,refresh,0.007488234001357341
169,logout,0.0063124139996943995
170,register,0.004925873003230663
170,login,0.006325897000351688
170,refresh,0.006943243999558035
170,logout,0.007098541002051206
171,register,0.005473400000482798
171,login,0.006724433998897439
171,refresh,0.007046017999527976
171,logout,0.008262965999165317
172,register,0.0076430359986261465
172,login,0.006194797999341972
172,refresh,0.0060371159997885115
172,logout,0.006908556999405846
173,register,0.005862257999979192
173,login,0.0061833840009057894
173,refresh,0.006448174997785827
173,logout,0.007164190999901621
174,register,0.005732065001211595
174,login,0.005778725000709528
174,refresh,0.0060855800002173055
174,logout,0.005847289001394529
175,register,0.005458883999381214
175,login,0.0060294899994914886
175,refresh,0.006066939000447746
175,logout,0.007030180000583641
176,register,0.0052822590005234815
176,login,0.005587774998275563
176,refresh,0.005674911997630261
176,logout,0.00614214099914534
177,register,0.004659682999772485
177,login,0.005601934000878828
177,refresh,0.006940649000171106
177,logout,0.006724631999531994
178,register,0.004320914998970693
178,login,0.005415784999058815
178,refresh,0.00579719999950612
178,logout,0.005373783998948056
179,register,0.005504343997017713
179,login,0.005385958000260871
179,refresh,0.005864946000656346
179,logout,0.006076718000258552
180,register,0.005719372002204182
180,login,0.0051969950000057
180,refresh,0.005771120999270352
180,logout,0.006608594998397166
181,register,0.005027119001169922
181,login,0.004623444998287596
181,refresh,0.005982218001008732
181,logout,0.005660319002345204
182,register,0.005137707998073893
182,login,0.005206130001170095
182,refresh,0.007229278999147937
182,logout,0.006299896998825716
183,register,0.005605250000371598
183,login,0.005535233001864981
183,refresh,0.005969337998976698
183,logout,0.006148126001789933
184,register,0.004739494001114508
184,login,0.0052809669978159945
184,refresh,0.00732646699907491
184,logout,0.007741168003121857
185,register,0.006923499000549782
185,login,0.00936950300092576
185,refresh,0.008736403000511928
185,logout,0.00824506999924779
186,register,0.006972331000724807
186,login,0.006521932999021374
186,refresh,0.00726758500240976
186,logout,0.009176139999908628
187,register,0.007113872001355048
187,login,0.007366329999058507
187,refresh,0.009094259003177285
187,logout,0.008764165999309625
188,register,0.009010798999952385
188,login,0.006543639003211865
188,refresh,0.0072874359975685365
188,logout,0.008410498998273397
189,register,0.006100810998759698
189,login,0.006242274997930508
189,refresh,0.007101354996848386
189,logout,0.008269601999927545
190,register,0.007703776002017548
190,login,0.01004197400106932
190,refresh,0.0071683559981465805
190,logout,0.006083101998228813
191,register,0.007325754002522444
191,login,0.005340625000826549
191,refresh,0.006503273998532677
191,logout,0.007028300999081694
192,register,0.00580694299787865
192,login,0.005679142999724718
192,refresh,0.0069229850014380645
192,logout,0.007185365000623278
193,register,0.006291262001468567
193,login,0.006306830000539776
193,refresh,0.006052351000107592
193,logout,0.006445240000175545
194,register,0.005691589998605195
194,login,0.005096778000734048
194,refresh,0.005529556001420133
194,logout,0.005788469999970403
195,register,0.00530534200152033
195,login,0.004897421000350732
195,refresh,0.005434703998616897
195,logout,0.005451638000522507
196,register,0.005498811002325965
196,login,0.0057530100020812824
196,refresh,0.005040988999098772
196,logout,0.0052480639969871845
197,register,0.0051129280000168364
197,login,0.004677480999816908
197,refresh,0.0064696629997342825
197,logout,0.006784305998735363
198,register,0.0049004680004145484
198,login,0.005170470998564269
198,refresh,0.006759428000805201
198,logout,0.006548418001329992
199,register,0.0057073290008702315
199,login,0.006242899999051588
199,refresh,0.006469415999163175
199,logout,0.006375041000865167
200,register,0.004861189998337068
200,login,0.005427546999271726
200,refresh,0.005031396998674609
200,logout,0.005895689999306342
201,register,0.006550097001309041
201,login,0.005020669999794336
201,refresh,0.005158188003406394
201,logout,0.007045758000458591
202,register,0.00569708399780211
202,login,0.005674518997693667
202,refresh,0.006165215996588813
202,logout,0.0058079599984921515
203,register,0.004763977001857711
203,login,0.005417272001068341
