iteracao,endpoint,tempo_resposta
54,logout,0.10512019999441691
55,register,0.17917160000069998
55,login,0.16389599998365156
55,refresh,0.07320409998646937
55,logout,0.08396090002497658
56,register,0.17880500000319444
56,login,0.15166159998625517
56,refresh,0.05952499998966232
56,logout,0.06401639999239706
57,register,0.15884189997450449
57,login,0.165713099995628
57,refresh,0.05831449999823235
57,logout,0.09412380002322607
58,register,0.15599939998355694
58,login,0.1493884999945294
58,refresh,0.06806359998881817
58,logout,0.07921830000123009
59,register,0.1606016000150703
59,login,0.23296290001599118
59,refresh,0.08214690000750124
59,logout,0.0775611000135541
60,register,0.13827049999963492
60,login,0.12286289999610744
60,refresh,0.04348079999908805
60,logout,0.05023419999633916
61,register,0.132325899990974
61,login,0.12177929998142645
61,refresh,0.05329489998985082
61,logout,0.054906100005609915
62,register,0.14722479999181814
62,login,0.12796630000229925
62,refresh,0.04061249998630956
62,logout,0.04342890001134947
63,register,0.12475799999083392
63,login,0.11403379999683239
63,refresh,0.043926000013016164
63,logout,0.05301169998710975
64,register,0.1352333999820985
64,login,0.18052180000813678
64,refresh,0.09275320000597276
64,logout,0.06851969999843277
65,register,0.12424800000735559
65,login,0.10995010001352057
65,refresh,0.04444690002128482
65,logout,0.04521740000927821
66,register,0.12339349999092519
66,login,0.12423780001699924
66,refresh,0.051138200011337176
66,logout,0.04491189998225309
67,register,0.13647450000280514
67,login,0.12530919999699108
67,refresh,0.044114199990872294
67,logout,0.07771189999766648
68,register,0.15308780001942068
68,login,0.14524889999302104
68,refresh,0.10148569999728352
68,logout,0.18227530000149272
69,register,0.21505190001334995
69,login,0.17314140000962652
69,refresh,0.086064000002807
69,logout,0.09123069999623112
70,register,0.1432523000112269
70,login,0.15502650002599694
70,refresh,0.06714800000190735
70,logout,0.07480800000485033
71,register,0.1480751000053715
71,login,0.14966150000691414
71,refresh,0.04582199998549186
71,logout,0.058399700006702915
72,register,0.13154299999587238
72,login,0.13482069998281077
72,refresh,0.06603100002394058
72,logout,0.09150329997646622
73,register,0.11786129997926764
73,login,0.12586539998301305
73,refresh,0.05328979998012073
